"gre","gpa","rank","gre_math","household","sex","y"
521.553436551256,3.68863270964815,"2",153.844800274619,63.4077405172817,0,0
637.628315791165,3.34227359228332,"3",217.073513008986,162.989846022749,1,1
482.115338555485,3.13781254273737,"1",140.738164675156,139.192782521122,1,1
606.097078974721,2.69303412412333,"2",186.347511696529,99.7084316493108,1,0
625.881902665506,3.38737097028472,"2",198.685813947639,110.035776293704,0,0
492.603209903213,4,"4",149.720038381595,123.133601617567,1,0
445.361972709692,4,"1",144.709675172037,180.985990889994,1,0
650.634867901886,3.67581098442069,"2",178.936971049937,142.16325402214,1,0
782.361072827161,3.34974120341379,"3",238.248763488149,164.177287703936,1,0
729.713153891589,3.13576894253602,"4",207.237507739968,134.869976389262,1,0
449.017178296646,3.66061734042418,"3",153.499939886274,110.139830056411,0,1
608.574603398877,3.62701670970523,"2",205.637503558541,114.157828510664,0,0
478.071927398727,3.22246280167003,"3",147.159025611733,109.781239403205,1,1
623.344224305918,3.65695658915228,"2",198.330869194447,121.388562128468,0,0
644.654639301182,2.90519041569597,"2",202.495717839076,175.069815015345,1,0
387.509253994811,2.98886561419653,"2",121.803492632157,173.038492078068,0,0
673.269985106233,3.29020968153642,"4",189.185247971018,260.553299656721,0,0
575.41139141061,3.44147604445586,"2",174.917982383533,206.829727527093,0,0
573.656845282275,3.4090952795301,"2",176.594309743859,188.233563096353,1,1
668.07487337596,3.50178008908381,"4",201.2138551541,70.979322557134,0,0
530.288285113143,3.45752892276415,"2",167.177997133322,173.722866332859,1,0
618.52592699403,3.20025377185481,"1",185.359700576329,250.817632008094,1,1
593.114601429222,3.33029829032415,"1",200.148800183492,141.014704445767,1,0
494.763374231813,3.75721828844595,"2",143.698296963482,134.444059618308,1,1
668.938217949568,2.19398559345432,"1",204.46553907132,125.371696042862,1,1
584.956240827828,3.82005326956696,"3",177.647259762081,342.266601293689,0,0
330.56309997212,3.30095565049502,"2",110.658126518335,120.642613914234,1,1
628.73747788642,3.47896378194663,"3",191.30899119356,113.567998962023,1,1
582.574504164613,3.3071131246458,"2",167.545555464877,145.795083105801,1,0
627.793802104742,4,"3",200.704273951057,131.583758561631,0,0
529.711725525741,3.94113685035674,"4",150.214962686752,138.938886228997,0,0
656.081760533842,3.59183392618542,"2",191.876614345374,80.4133228335626,1,1
494.527313304629,3.51872208363314,"2",145.28551076032,209.669590709743,1,1
640.523356019934,3.4604092006757,"2",175.202122141725,140.700830730094,1,1
728.408621686246,2.99124238821362,"4",232.832101174323,175.653921065341,0,0
515.973458248896,2.76679768194836,"3",166.553664349877,97.4529489103298,0,0
634.239012004964,3.92634227781391,"4",194.277449796723,92.2976783594939,0,0
533.791263486938,3.37201449377623,"2",144.898374362436,109.991248449849,0,0
493.232480619989,3.28446763926464,"2",140.45072859108,201.128297772701,0,0
538.254769612362,2.9280464630652,"1",125.873585031573,415.035918361748,0,1
666.089873570495,3.54993999817436,"3",213.308042815943,167.871032164849,1,0
718.03475974724,3.13492436592482,"2",215.421704596769,133.406336116984,1,1
452.683343623824,3.68179562785059,"1",130.283812391168,162.108335200214,1,0
708.164978821598,3.27004573774094,"3",205.371625191877,102.179295249636,0,0
555.525705770434,3.83200332699403,"3",148.060563242928,153.290632494582,0,1
567.079234868902,3.66407142122048,"3",174.708476930299,111.29266117091,1,1
480.382080888496,3.34576856419128,"2",139.532182951072,80.3819960960835,0,1
455.108522516971,3.33665350304479,"4",123.045158228883,190.455352089212,1,0
620.882337415515,2.57411474337982,"1",194.770891556329,210.311467344189,0,0
800,3.38342992121758,"2",240.670426670814,145.191903971828,0,0
636.68919559004,2.91623835900514,"3",189.204249870611,105.021555712414,0,0
709.722800258446,3.89411483154576,"3",214.488919360343,267.73955355113,0,0
635.701643378193,3.40026499441244,"2",204.590045337216,201.608801292008,0,1
452.564097410154,2.74703337664566,"1",135.777455359903,230.555243353603,0,1
570.120930515862,3.57448748153509,"3",183.486949771916,155.197333061642,1,1
593.243996347035,3.32202769435031,"3",173.236808384235,147.108919372117,0,0
440.250371414534,3.71333209260951,"1",129.049367670499,158.637994963464,1,1
506.950915382603,3.96352029723317,"4",149.370792277471,204.099935014594,1,0
725.3678528065,3.47304250030319,"3",215.933517811209,142.824705457785,1,0
695.175202168826,3.5786951815382,"1",210.169293699373,81.0061267318432,0,0
666.02562913725,3.46877745366297,"2",202.362689332931,190.791634440422,0,0
686.523318697069,2.92698941025691,"3",200.603763878155,134.228122448154,0,0
409.427210697789,3.32568665352326,"4",126.816246870968,266.533475133336,1,1
646.986684391034,3.0732964403156,"3",201.501552434656,121.120120245537,1,0
466.895874125667,3.00329426695828,"4",147.17467341744,129.849894719469,0,0
730.277763652325,3.80936935902461,"3",217.071846426804,80.810520036199,1,1
583.356784481176,3.28915978423437,"2",180.222354635623,221.529062297205,0,0
571.116228667697,3.73872011434596,"4",160.111650958994,89.4743674386648,0,1
548.194383764541,3.35424829971417,"3",168.045370252451,115.966689628775,0,1
